condition_label,medical_abstract
4,"Ischaemic left ventricular failure: evidence of sustained benefit after 18 months' treatment with xamoterol. The long term effects of treatment with xamoterol in 14 patients aged 44-73 with mild to moderate heart failure as a result of ischaemic heart disease are reported. After 18 months' treatment with xamoterol, patients were assessed in a randomised double blind crossover comparison of xamoterol (200 mg twice a day) and placebo, each given for one month. Compared with placebo, xamoterol significantly increased exercise duration and work done on a bicycle ergometer and reduced the maximum exercise heart rate. Assessment of symptoms and activities at 12 months by visual analogue and Likert scales showed a trend towards the relief of symptoms of breathlessness and tiredness and an improvement in activity. There was an improvement in the clinical signs of heart failure and no haemodynamic deterioration over a 12 month period as assessed by ejection fraction. The improvement in exercise tolerance, symptoms, and activities was sustained for 18 months without side effects or development of tolerance. "
1,"Potent selective inhibition of 7-O-methyl UCN-01 against protein kinase C. UCN-01 is a staurosporine-related compound that was isolated from the culture broth of Streptomyces sp. and shows potent and selective inhibitory activity against protein kinase C. Cellular inhibitory activity of UCN-01 against protein kinase C and cytotoxicity of UCN-01 were compared with those of staurosporine. When the mechanism of inhibitory activity was investigated in vitro, UCN-01 as well as staurosporine inhibited the activity of the catalytic domain of protein kinase C. In spite of direct inhibition against the catalytic domain of protein kinase C, cytotoxicity of UCN-01 was much lower than that of staurosporine. In addition, UCN-01 showed more selective inhibitory activity against protein kinase C than did staurosporine because of the sole structural difference at C-7. Therefore, a series of 7-O-alkyl derivatives of UCN-01 was synthesized and investigated. Interestingly, one of the compounds, the beta-methoxy derivative, showed 3-fold greater potency and 17-fold more selective inhibitory activity against protein kinase C than did UCN-01. "
5,"Host response to mycobacterial infection in the alcoholic rat. Animals, chronically treated with alcohol, were inoculated with mycobacteria (bacillus Calmette-Guerin, 10.2 x 10(6) organisms) into the spleen to produce a granulomatous hepatitis. Before infection, chronic alcohol ingestion was associated with a depressed skin test response to phytohemagglutinin, 71.7% of baseline (P = 0.009). Mycobacterial (bacillus Calmette-Guerin) infection stimulated phytohemagglutinin skin test response to 417% of baseline in controls and 299% in alcoholics (P less than 0.001). The hepatic granuloma response was altered with smaller but more numerous granulomas (mean +/- SEM, 81.2 +/- 1.5 microns2 of area with a frequency of 1.8 granulomas per field in alcoholics vs. 129.8 +/- 5.71 microns2 and 1.2 granulomas per field in controls; P less than 0.001). These changes were associated with a 10-fold increase in colony-forming units per gram of liver (54.5 +/- 18.2 in alcoholics vs. 5.6 +/- 1.83 in controls; P = 0.0006). This model offers precise parameters for host response to infection and indicates that alcohol significantly impairs the clearing capacity for mycobacteria from the liver. "
2,"Interventional radiology of the biliary tract. Transcholecystic intervention. Diagnostic and therapeutic biliary intervention by percutaneous access to the gallbladder is an important new area in interventional radiology. The anatomy of the gallbladder, biliary tree, and surrounding viscera is reviewed in this article as a preliminary to discussion of the diagnostic techniques of aspiration, cholangiography, biopsy, and the therapeutic techniques of gallbladder drainage and cholelithotomy. Recently there has been a bewildering proliferation of procedures aimed at removal, fragmentation, and dissolution of gallbladder stones. Several of these are discussed in this article. Removal of common bile duct stones by percutaneous cholecystostomy also is discussed. "
4,"One hundred percent oxygen reverses muscle hypoxia in a rat hindlimb model of acute arterial occlusion. Significant morbidity results from extremity ischemia after acute arterial occlusion. Reestablishment of arterial flow is considered to be the ideal treatment, yet substantial tissue loss can occur before this is accomplished. Using a rat hindlimb model we investigated whether the administration of 100% oxygen would decrease tissue hypoxia from acute arterial occlusion. Adult male Sprague-Dawley rats were used, and Po2 recordings were taken from the gastrocnemius muscle by use of an oxygen electrode. Baseline muscle Po2 was recorded, and then the femoral artery was occluded. Repeat recordings were made after 20 minutes of ventilation with room air and after an additional 20 minutes of ventilation with 100% oxygen (N = 10). Control groups consisted of animals undergoing occlusion but continued on room air (N = 3) and animals undergoing sham occlusion but receiving the period of 100% oxygen ventilation (N = 3). Femoral artery occlusion produced a reduction in muscle Po2 from 28.0 +/- 1.4 to 6.1 +/- 2.0 (mean +/- SEM, p less than 0.001). Ventilation with 100% oxygen reversed the tissue hypoxia produced by occlusion (27.3 +/- 2.0, p less than 0.001). The administration of 100% oxygen without femoral artery occlusion resulted in a higher tissue Po2 than the occluded + oxygen group (94 +/- 12 vs 27.3 +/- 2.0, p less than 0.001). Mean arterial blood pressure increased in the experimental group concomitant with the administration of 100% oxygen, but there was no correlation between final blood pressure and final tissue oxygen tension. "
1,"Contributions of the Zollinger-Ellison syndrome. The salient contributions of the Zollinger-Ellison syndrome have made it unique. No pancreatic endocrine tumor described before (insulinoma) or subsequently (glucagonoma, somatostatinoma, vipoma, pancreatic-polypeptidoma) has been the topic of such a variety of studies, or has been such an inspiration and rich source of new ideas for investigation and ultimate improvement in patient care. "
2,"Endoscopic assessment of chloroquine phosphate-induced damage to esophageal, gastric, and duodenal mucosa. Eighteen patients with Plasmodium vivax malaria were prospectively evaluated to assess the time of onset and extent of upper gastrointestinal mucosal injury caused by oral administration of four tablets (600-mg base) of chloroquine. Endoscopy was performed in the group of three separate patients. Each patient underwent endoscopy, both before the drug was given, and at intervals of 1, 2, 4, 12, 24, and 36 h. Before the drug was given, endoscopy was normal in all of the patients. However, mucosal erosions developed in four of 18 patients who were endoscoped 24 and 36 h after chloroquine ingestion (gastric, four; duodenal, two; esophageal, one). The same doses of chloroquine failed to produce any mucosal lesions when given to these four patients while they were afebrile and when given to 11 healthy individuals who served as controls. Poor correlation was noted between subjective symptoms and endoscopic findings. In conclusion, neither malaria alone nor chloroquine alone causes mucosal lesions. However, chloroquine administered during malarial fever causes mucosal damage in susceptible individuals. "
1,"Temporal bone: three-dimensional CT. Part II. Pathologic alterations. Three-dimensional (3D) surface renderings were obtained from routine axial computed tomographic (CT) images in 15 patients with a variety of complex temporal bone abnormalities. The 3D CT reformations served as an adjunct to conventional sectional CT examination. While no diagnosis was substantially changed because of the 3D CT images, they did provide a more global perspective in cases of large tumors and fractures and at the postmastoidectomy site. Three-dimensional CT surface reformations are now practical and may be potentially useful for visualizing temporal bone lesions characterized by complex destructive change. "
4,"Results of percutaneous transluminal coronary angioplasty of high-risk angulated stenoses. Percutaneous transluminal coronary angioplasty (PTCA) of angulated stenoses has been found in studies using older PTCA equipment to be associated with a heightened risk of procedure-related major ischemic events. To better understand the factors associated with procedural risk and to identify means of lessening that risk, 100 patients, treated sequentially from 1986 to 1989, who underwent PTCA of stenoses located at greater than or equal to 45 degrees bends, were characterized for 27 clinical, anatomic and procedural variables. Clinical outcome of angioplasty was related to these variables. In addition, results from 344 consecutive contemporary patients undergoing PTCA of nonangulated lesions were compared to those of the study group. Procedural success was achieved in only 70% of patients with angulated stenoses, compared with 306 of 344 (89%) nonangulated stenoses, and major ischemic complications (death, bypass surgery or myocardial infarction) occurred in 13% of patients with angulated stenoses compared with 12 of 344 (3.5%) with nonangulated stenoses (both p less than 0.001). The presence of associated thrombus, stenosis length greater than 10 mm or age greater than or equal to 65 years led to an even higher risk of major complications (9 of 44 = 20.5%), whereas highly experienced angioplasty operators and the use of polyethylene terephthalate balloons appeared to decrease risk and increase the likelihood of success. PTCA of such stenoses should be undertaken only cautiously and in carefully selected patients. "
2,"The pharmacist as a health consultant--ten years later. Pharmacists remain a readily accessible and trusted source of information about health. In order to assess the quality of counseling on health matters and the progress of the profession in this activity over the last decade, a study similar to one reported in 1978 was conducted. We visited 46 community pharmacies and requested advice from the pharmacists concerning the proper treatment of an infant with diarrhea. Interviewers volunteered no additional information, but questions asked by the pharmacist were answered according to a predetermined hypothetical case involving an 18-month-old infant with diarrhea and vomiting. Findings include the following: approximately one-third of the pharmacists recommended a product without caution and less than 20 percent inquired about fever, nausea, vomiting, diet, or the infant's condition. We believe pharmacists should approach health counseling with an increased awareness of the harmful potential in providing inappropriate medical information. "
5,"Upper GI bleeding in an urban hospital. Etiology, recurrence, and prognosis. Acute upper gastrointestinal bleeding (UGIB) continues to be a common cause of hospital admission and morbidity and mortality. This study reviews 469 patients admitted to a surgical service of an urban hospital. There were 562 total admissions because 53 patients were readmitted 93 times (recurrence rate, 20%). The most common causes of bleeding, all endoscopically diagnosed, included acute gastric mucosal lesion (AGML) (135 patients, 24%), esophageal varices (EV) (121 patients, 22%), gastric ulcer (108 patients, 19%), duodenal ulcer (78 patients, 14%), Mallory-Weiss tear (61 patients, 11%), and esophagitis (15 patients, 3%). Nonoperative therapy was sufficient in 504 cases (89.5%). Endoscopic treatment was used in 144 cases. Operations were performed in 58 cases (10.5%), including 29% of ulcers. Emergency operations to control hemorrhage were required in only 2.5% of all cases. The rate of major surgical complications was 11% and the mortality rate was 5.2%. There were 58 deaths (12.6%), with 36 deaths directly attributable to UGIB. Factors correlating with death include shock at admission (systolic blood pressure less than 80), transfusion requirement of more than five units, and presence of EV (all p less than 0.001). Most cases of UGIB can be treated without operation, including endoscopic treatment, when diagnostic endoscopy establishes the source. Subsequent operation in selected patients can be done with low morbidity and mortality rates. "
2,"Successful treatment of pancreatic pseudocyst with a somatostatin analogue and catheter drainage. We report a patient with bile duct stone-induced pancreatitis who subsequently developed a large pseudocyst that became infected after endoscopic retrograde cholangiopancreatography (ERCP) was done for extraction of the stones. Percutaneous external drainage allowed control of the infection, but failed to seal the pseudocyst. We then treated the patient with a long-acting somatostatin analogue which shrunk the cyst within a week. Patients with pancreatic pseudocyst resistant to drainage should be offered a course of somatostatin before surgery is contemplated. "
2,"Urinary tissue factor activity in colorectal disease. Procoagulant activity (PCA) in normal urine has been recognized for over 50 years. Although tissue factor (TF) is produced by certain tumours, and is increased in both tumour-associated macrophages and blood monocytes, the possibility that it might also be increased in urine has not been studied in patients with cancer. We have measured urinary PCA in hospital controls without inflammatory or neoplastic disease (n = 79), in patients with rheumatoid arthritis (n = 8), inflammatory bowel disease (n = 19), colorectal cancer (n = 70) and in patients undergoing colonoscopy (n = 50). Urinary PCA was higher (P less than 0.001) in patients with colorectal cancer and inflammatory bowel disease than controls or patients with rheumatoid arthritis. Fourteen (88 per cent) out of 16 colonoscopy patients subsequently found to have carcinoma or inflammatory bowel disease had levels above the control upper quartile, compared with 8 (24 per cent) out of 34 with normal colonoscopy (P less than 0.001). TF inhibitors confirmed the nature of the PCA and Western blotting studies indicated a urinary TF molecular weight of approximately 38,000. These studies provide further evidence of abnormal haemostasis in malignancy and suggest that determination of urinary TF may provide a useful screening test in patients undergoing colonoscopy. "
5,"Clinical characteristics and treatment of isolated inferior rectus paralysis. Isolated inferior rectus paralysis without mechanical restriction of the globe has received only scant attention in the literature. The authors report on 21 patients treated during the past 16 years. The etiology was congenital, traumatic, myasthenic, and vascular. Anomalous head posture, diplopia, or a disfiguring hypertropia were presenting symptoms. Diagnosis was made on the basis of the prism and cover test in the diagnostic positions and on examination of ductions and versions. The direction of the head tilt, the Bielschowsky head tilt test, and tests for cyclotropia are only of secondary diagnostic value since they may give paradoxical results. Surgery consisted of resection of the paralyzed muscle, combined with or without recession of its antagonist and/or recession of the contralateral superior oblique. After a mean follow-up of 17 months, 14 patients were cured, 6 had improved, and 1 remained unchanged. "
5,"A hospital-based study of acute viral infections of the respiratory tract in Thai children, with emphasis on laboratory diagnosis. The hospital-based study described here examined the viruses found in 738 children less than 5 years old who presented at Ramathibodi Hospital, Bangkok, Thailand, from January 1986 to December 1987 with acute respiratory tract infections. Three methods for detection of viral infection are compared: direct examination of epithelial cells of the respiratory tract with the use of fluorescent antibody staining, isolation of virus, and measurement of antibody in acute- and convalescent-phase sera. Viral infections were found in 44.7% of the study population. Diagnosis by the examination of epithelial cells with the fluorescent antibody staining procedure was found to have several deficiencies; however, this technique was the most sensitive for diagnosis of infection due to respiratory syncytial virus. Isolation of virus was the best method for identification of adenoviruses, parainfluenza 1 and 3 viruses, and influenza B virus. Problems associated with serodiagnosis included failure to obtain specimens of convalescent-phase blood in 24.5% of cases and insensitivity of serodiagnosis for young children except for the identification of antibody to influenza A virus. The combination of all three tests yielded the best rate of detection of virus. "
5,"Assessment of dilation methods in achalasia: large diameter mercury bougienage followed by pneumatic dilation as needed. In a retrospective study, 33 achalasia patients were treated with dilation therapy using large diameter mercury bougienage (mean, 56 French) and/or pneumatic balloon dilation. Mean follow-up time was 35 months. Mercury bougienage, performed in 20 patients, was successful in 10 (50%) with no complications. Pneumatic dilation was performed as initial therapy or in those having failed previous pharmacologic therapy and/or bougienage. A successful response was achieved in 19 of 23 patients (83%), with a 3.2% complication rate. In addition, in four patients with eventual recurrence of symptoms after initial pneumatic dilation, bougienage was used as a successful alternative to repeat pneumatic treatment. The combined efficacy of both forms of dilation was 88% with a complication rate of 1.4%. These data indicate that mercury bougienage should be considered initial therapy for achalasia in view of its simplicity, safety, and acceptable efficacy, followed by pneumatic dilation if bougienage is unsuccessful. Bougienage also may be considered if eventual recurrent symptoms develop after initially successful pneumatic dilation. Surgery should be utilized only if dilation therapy fails to achieve a satisfactory response. "
2,Immunohistochemical detection of abnormal cell proliferation in colonic mucosa of subjects with polyps. Previous studies have shown the presence of increased proliferation in the large bowel epithelium of those at high risk of developing colon cancer. An in vitro technique for labelling large bowel mucosa with the thymidine analogue bromodeoxyuridine (Brdu) was therefore developed and its ability to distinguish differences in mucosal proliferation between subjects with colorectal adenomas and normal controls was assessed. Sigmoid biopsy specimens from 15 subjects with polyps and 15 age and sex matched controls were labelled and the incorporated Brdu visualised with an immunohistochemical technique. Mean labelling index (LI) was significantly higher in those with polyps than in controls. Differences in the pattern of labelling in colonic crypts were compared by the generation of cumulative labelling distributions. Analysis showed a significant expansion of the proliferative compartment in the colon crypts of those with polyps. It is concluded that in vitro labelling with Brdu provides a useful method for the assessment of mucosal proliferation in subjects at high risk of developing colon cancer. 
